review,rating,date
Worst app. Download it and try to connect to my Garmin watch but nothing happened. Deleted for good.,1,2026-02-24T04:24:37-07:00
The app hasn’t worked in weeks for me and other kids on my cross country team it hasn’t tracked correct distance or distance at all please seek to fix this bug,1,2026-02-23T12:46:10-07:00
this is the worst app in the history of the universe.,1,2026-02-23T12:11:17-07:00
I’ve used the strava app since 2019. Can’t say enough good things about it. The gold standard when it comes to fitness apps.,5,2026-02-21T16:11:12-07:00
I would like to comment photos in the comment section of my friend’s posts to optimize encouragement of my fellow teammates. Please consider my request 💪🏻👍,4,2026-02-21T15:46:51-07:00
This might be the most brain dead dumb feature I've ever seen. No I don't want to be forced to share a post. So tired of the MBAs and marketing jackals dictating what's good for the greater good.,1,2026-02-21T12:58:59-07:00
"If you found the design of this App annoying and impossible to set up on your phone, you’re not alone.",1,2026-02-21T10:36:46-07:00
"So, you mean to tell me that I bust my butt for my PRs but I have to pay for a subscription in order to see my best efforts. Love the app but ain’t that some money hungry behavior right there.",4,2026-02-20T16:27:22-07:00
Since the newest update Strava will not sync with Wahoo ELEMNT. I can’t upload works outs. Worked fine until 2/18/2026,1,2026-02-19T05:30:16-07:00
"I was randomly logged out and cannot log back in, and have contacted support with no support after signing up for a membership complete fail",1,2026-02-18T08:12:14-07:00
"I can’t submit a help request to support because the dropdown closes in less than 1 second, but can you bring back the back button? If I’m in anything I have to close and reopen the app to take a step backwards",1,2026-02-18T05:41:36-07:00
Me gusta Strava gracias por sus funciones 🙏,5,2026-02-17T22:43:43-07:00
If you’re all about fitness this is the app for you 👍🏼👍🏼👍🏼,5,2026-02-17T17:37:48-07:00
Awesome app. I appreciate those additions. Next addition: rucking 🙏,5,2026-02-17T16:08:08-07:00
Having a hard time reconnecting after apple update,3,2026-02-17T14:59:40-07:00
Be careful. They will attempt to randomly charge you after cancellation of your free trial for a FULL year. Took $80 from my bank account. Currently pursuing legal action.,1,2026-02-17T09:06:51-07:00
Keeps me on target with training and yearly goals. Fun to look back at data,5,2026-02-16T22:05:47-07:00
I downloaded this to see where people were walking in my area and the first route it suggested to me is a notorious homeless camp and very unsafe for a single female to be walking through let alone one with a baby… bummer.,1,2026-02-16T20:22:38-07:00
